name,league
1. FC Heidenheim 1846,German 2. Bundesliga
Consadole Sapporo,Japanese J League
Krylia Sovetov,Russian Premier Liga
Sheffield Wednesday,English League One
KV Mechelen,Belgian Jupiler League
Toronto FC,Major League Soccer
Montreal Impact,Major League Soccer
Huracán,Argentina Primera Division
Djurgardens IF,Swedish Allsvenskan
Pacos Ferreira,Portuguese Liga
FC Juárez,Mexican Primera Division Torneo Clausura
Eibar,Spanish Segunda Division
Viking FK,Norwegian Tippeligaen
CA Independiente,Argentina Primera Division
Colon Santa Fe,Argentina Primera Division
Barnsley,English League One
Sochi,Russian Premier Liga
Charlotte FC,Major League Soccer
Birmingham,English League Championship
Alanyaspor,Turkish Turkcell Super Lig
Cardiff City,English League Championship
WSG Swarovski Wattens,Austrian T-Mobile Bundesliga
Las Palmas,Spanish Segunda Division
Godoy Cruz,Argentina Primera Division
Banfield,Argentina Primera Division
Randers FC,Danish SAS-Ligaen
SpVgg Greuther Fürth,German 2. Bundesliga
Ankaragucu,Turkish Turkcell Super Lig
Istanbulspor,Turkish Turkcell Super Lig
Chicago Fire,Major League Soccer
Querétaro,Mexican Primera Division Torneo Clausura
Troyes,French Ligue 1
Fakel Voronezh,Russian Premier Liga
Wigan,English League Championship
FC Groningen,Dutch Eredivisie
Excelsior,Dutch Eredivisie
Austria Lustenau,Austrian T-Mobile Bundesliga
Austin FC,Major League Soccer
Como,Italy Serie B
Sochaux,French Ligue 2
Houston Dynamo,Major League Soccer
Huddersfield Town,English League Championship
Emmen,Dutch Eredivisie
Grasshoppers Zürich,Swiss Raiffeisen Super League
Valerenga,Norwegian Tippeligaen
FK Nizhny Novgorod,Russian Premier Liga
SK Austria Klagenfurt,Austrian T-Mobile Bundesliga
Colorado Rapids,Major League Soccer
Queens Park Rangers,English League Championship
Hammarby,Swedish Allsvenskan
Holstein Kiel,German 2. Bundesliga
SV Darmstadt 98,German 2. Bundesliga
Real Salt Lake,Major League Soccer
Mazatlán FC,Mexican Primera Division Torneo Clausura
Instituto,Argentina Primera Division
Atlético Tucumán,Argentina Primera Division
Ballkani,UEFA Europa Conference League
Melbourne City,Australian A-League
Leganes,Spanish Segunda Division
FC Tokyo,Japanese J League
Sarmiento,Argentina Primera Division
Platense,Argentina Primera Division
Hartberg,Austrian T-Mobile Bundesliga
Pisa,Italy Serie B
Belgrano Cordoba,Argentina Primera Division
Cambuur Leeuwarden,Dutch Eredivisie
Rotherham United,English League Championship
Gimnasia La Plata,Argentina Primera Division
Sudtirol,Italy Serie B
St. Louis CITY SC,Major League Soccer
Sagan Tosu,Japanese J League
Bolton,English League One
Real Oviedo,Spanish Segunda Division
Sarpsborg,Norwegian Tippeligaen
Tromso,Norwegian Tippeligaen
Umraniyespor,Turkish Turkcell Super Lig
Palermo,Italy Serie B
Rigas Futbola Skola,UEFA Europa Conference League
AaB,Danish SAS-Ligaen
Villarreal B,Spanish Segunda Division
Giresunspor,Turkish Turkcell Super Lig
1. FC Kaiserslautern,German 2. Bundesliga
Málaga,Spanish Segunda Division
Blackpool,English League Championship
Plymouth Argyle,English League One
Racing Santander,Spanish Segunda Division
Dijon FCO,French Ligue 2
Central Córdoba Santiago del Estero,Argentina Primera Division
Barracas Central,Argentina Primera Division
Zalgiris Vilnius,UEFA Europa Conference League
St Mirren,Scottish Premiership
Central Coast Mariners,Australian A-League
Union Santa Fe,Argentina Primera Division
Peterborough United,English League One
IFK Norrkoping,Swedish Allsvenskan
Derby County,English League One
FC Cartagena,Spanish Segunda Division
FC Vaduz,Swiss Raiffeisen Super League
Sporting Gijón,Spanish Segunda Division
KV Kortrijk,Belgian Jupiler League
Inter Miami CF,Major League Soccer
Kalmar FF,Swedish Allsvenskan
Reading,English League Championship
US Quevilly,French Ligue 2
Ascoli,Italy Serie B
SD Huesca,Spanish Segunda Division
Odd BK,Norwegian Tippeligaen
Kilmarnock,Scottish Premiership
St Johnstone,Scottish Premiership
OFI Crete,Greek Super League
Mirandes,Spanish Segunda Division
Valenciennes,French Ligue 2
Arminia Bielefeld,German 2. Bundesliga
1. FC Magdeburg,German 2. Bundesliga
Modena,Italy Serie B
Reggina,Italy Serie B
Rodez,French Ligue 2
HJK Helsinki,UEFA Europa League
Grenoble,French Ligue 2
Lyngby,Danish SAS-Ligaen
Guangzhou Evergrande,Chinese Super League
Portsmouth,English League One
SV Zulte Waregem,Belgian Jupiler League
Pau,French Ligue 2
Cittadella,Italy Serie B
Avispa Fukuoka,Japanese J League
Hannover 96,German 2. Bundesliga
Kashiwa Reysol,Japanese J League
Ross County,Scottish Premiership
Amiens,French Ligue 2
Orlando Pirates,South African ABSA Premier League
Spal,Italy Serie B
SD Ponferradina,Spanish Segunda Division
Perugia,Italy Serie B
Nimes,French Ligue 2
Atromitos,Greek Super League
Arsenal Sarandi,Argentina Primera Division
Stromsgodset,Norwegian Tippeligaen
San Antonio FC,United Soccer League
Kyoto Purple Sanga,Japanese J League
Burgos,Spanish Segunda Division
AIK,Swedish Allsvenskan
Gamba Osaka,Japanese J League
Stabaek,Norwegian Tippeligaen
Livingston,Scottish Premiership
Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga
Sydney FC,Australian A-League
Ternana,Italy Serie B
Charlton Athletic,English League One
SV Ried,Austrian T-Mobile Bundesliga
Western Sydney FC,Australian A-League
Shonan Bellmare,Japanese J League
Laval,French Ligue 2
Benevento,Italy Serie B
Beijing Guoan,Chinese Super League
1. FC Nürnberg,German 2. Bundesliga
Louisville City FC,United Soccer League
Dundee Utd,Scottish Premiership
Wycombe Wanderers,English League One
Haugesund,Norwegian Tippeligaen
Annecy,French Ligue 2
Shanghai SIPG,Chinese Super League
Jahn Regensburg,German 2. Bundesliga
San Diego Loyal SC,United Soccer League
Tampa Bay Rowdies,United Soccer League
Pyunik Yerevan,UEFA Europa Conference League
IFK Goteborg,Swedish Allsvenskan
UD Ibiza,Spanish Segunda Division
Fleetwood Town,English League One
Hansa Rostock,German 2. Bundesliga
Sacramento Republic FC,United Soccer League
FC Khimki,Russian Premier Liga
KV Oostende,Belgian Jupiler League
Winterthur,Swiss Raiffeisen Super League
Brescia,Italy Serie B
Giannina,Greek Super League
AC Horsens,Danish SAS-Ligaen
Arizona United,United Soccer League
Memphis 901 FC,United Soccer League
Lincoln City,English League One
Eintracht Braunschweig,German 2. Bundesliga
Adelaide United,Australian A-League
Albirex Niigata,Japanese J League
Eupen,Belgian Jupiler League
Exeter City,English League One
Asteras Tripolis,Greek Super League
Sandefjord,Norwegian Tippeligaen
Melbourne Victory,Australian A-League
FC Sion,Swiss Raiffeisen Super League
IK Sirius,Swedish Allsvenskan
Colorado Springs Switchbacks FC,United Soccer League
Torpedo Moskow,Russian Premier Liga
Lugo,Spanish Segunda Division
Cosenza,Italy Serie B
Shamrock Rovers,UEFA Europa Conference League
Mjallby,Swedish Allsvenskan
Oxford United,English League One
Black Aces,South African ABSA Premier League
RFC Seraing,Belgian Jupiler League
Oakland Roots,United Soccer League
Brommapojkarna,Swedish Allsvenskan
Stellenbosch FC,South African ABSA Premier League
Volos NFC,Greek Super League
Burton Albion,English League One
Aalesund,Norwegian Tippeligaen
El Paso Locomotive FC,United Soccer League
Niort,French Ligue 2
Ionikos FC,Greek Super League
Levadiakos,Greek Super League
Shrewsbury Town,English League One
SuperSport United,South African ABSA Premier League
SV Sandhausen,German 2. Bundesliga
Shandong Luneng,Chinese Super League
Salford City,English League Two
Jiangsu Suning FC,Chinese Super League
Cheltenham Town,English League One
Gazisehir Gaziantep,Turkish Turkcell Super Lig
Halmstads BK,Swedish Allsvenskan
Mansfield Town,English League Two
Milton Keynes Dons,English League One
Panetolikos,Greek Super League
New Mexico United,United Soccer League
Yokohama FC,Japanese J League
Stockport County,English League Two
Hamarkamaratene,Norwegian Tippeligaen
IFK Värnamo,Swedish Allsvenskan
Pittsburgh Riverhounds,United Soccer League
Bristol Rovers,English League One
Western United,Australian A-League
Wellington Phoenix,Australian A-League
Orange County SC,United Soccer League
TS Galaxy,South African ABSA Premier League
Kaizer Chiefs,South African ABSA Premier League
Birmingham Legion FC,United Soccer League
Brisbane Roar,Australian A-League
Lamia,Greek Super League
Newcastle Jets,Australian A-League
Degerfors IF,Swedish Allsvenskan
Port Vale,English League One
AmaZulu,South African ABSA Premier League
Bradford City,English League Two
Swindon Town,English League Two
Miami FC,United Soccer League
Leyton Orient,English League Two
Carlisle United,English League Two
Morecambe,English League One
Golden Arrows,South African ABSA Premier League
Newport County,English League Two
Hatayspor,Turkish Turkcell Super Lig
Royal AM,South African ABSA Premier League
Perth Glory,Australian A-League
Sekhukhune United,South African ABSA Premier League
Cambridge United,English League One
Stevenage,English League Two
Northampton Town,English League Two
Hartford Athletic,United Soccer League
Monterey Bay,United Soccer League
Indy Eleven,United Soccer League
Tianjin Teda,Chinese Super League
Macarthur FC,Australian A-League
Varbergs BoIS FC,Swedish Allsvenskan
Charleston Battery,United Soccer League
Shanghai Greenland,Chinese Super League
Harrogate Town,English League Two
Moroka Swallows,South African ABSA Premier League
Tulsa Roughnecks,United Soccer League
Rio Grande Valley FC Toros,United Soccer League
Hebei China Fortune FC,Chinese Super League
Colchester United,English League Two
Henan Jianye,Chinese Super League
Las Vegas Lights FC,United Soccer League
Gillingham,English League Two
Dalian Aerbin,Chinese Super League
Tshakhuma Tsha Madzivhandila,South African ABSA Premier League
Guangzhou RF,Chinese Super League
Maritzburg Utd,South African ABSA Premier League
Accrington Stanley,English League One
Wuhan Zall,Chinese Super League
Crewe Alexandra,English League Two
Detroit City FC,United Soccer League
Richards Bay,South African ABSA Premier League
Rochdale,English League Two
Grimsby Town,English League Two
Chippa United,South African ABSA Premier League
Tranmere Rovers,English League Two
Loudoun United FC,United Soccer League
Tianjin Quanujian,Chinese Super League
Barrow,English League Two
Shenzhen FC,Chinese Super League
Chongqing Lifan,Chinese Super League
Hartlepool,English League Two
Walsall,English League Two
Sutton United,English League Two
AFC Wimbledon,English League Two
Doncaster Rovers,English League Two
Forest Green Rovers,English League One
Crawley Town,English League Two
Guizhou Renhe,Chinese Super League
